Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-AHF_1_010152810,VE Day Parade Celebration,"The Kings Lynn branch of the Royal British Legion will use an award to hold a V.E. Day and V.J. Day commemoration event to mark the 60th anniversary of these significant events. This will include a Veterans parade, and Memorial service which will include Naval, Army and Air Cadets.",2005-04-14,2720.0,360G-blf,The Big Lottery Fund,0.0210424951901
360G-blf-0030079171,Creative Arts in the Community,"This group provide arts activities to the local community. The project is to hold a series of workshops based on art, poetry, drama, creative writing, music and dance. The workshops will be held in various community centres and will be open and inclusive to all, including refugees, asylum seekers and people with additional needs.",2008-11-25,9650.0,360G-blf,The Big Lottery Fund,0.0210398307112
360G-blf-AHF_1_010158047,Reunion,"The Newton Aycliffe Scout Supporters Association have been awarded a grant that will allow to host a 60th anniversary celebration event that will be attended by 'Aycliffe Angels'.  The event will also include a display of WW2 memorabilia, music and newsreels from the 40's and also wartime music.",2005-04-29,2480.0,360G-blf,The Big Lottery Fund,0.0210343913713
360G-blf-0030017675,Making a Difference Week: Celebrating Diversity in London Borough of Redbri,"This charity in Ilford will hold a one day event to celebrate diversity and community cohesion. The event will bring together people from different communities and will have multi-cultural music, art, dance and food as well as workshops and information and advice stalls from a variety of organisations.",2009-07-30,8300.0,360G-blf,The Big Lottery Fund,0.0210271147587
360G-blf-AHF_1_010171915,Veterans Celebration Day,A project to commemorate the events leading to the end of WW2 with the provision of a reunion event for all members of this group based throughout Norfolk & Suffolk.  The event will also include the recording of memories which will be donated Norwich Millennium Museum.,2005-08-05,8685.0,360G-blf,The Big Lottery Fund,0.0210091116594
360G-blf-0030004888,M.A.C Programme (part 2),"This project will provide music workshops, training workshops in music production and media, dance and theatre productions, field trips and final events in the second phase of their 'Make A Change' project.  This will include street dance and there will be an increase in the number of participants.",2007-12-11,9762.0,360G-blf,The Big Lottery Fund,0.0210000121986
360G-blf-AHF_1_010167222,1940s Celebration Event,This group will use their award to hold a 1940s night with music and entertainment to celebrate the 60th anniversary of the end of the Second World. This event will involve both young and old people from the local community.,2005-08-05,521.0,360G-blf,The Big Lottery Fund,0.0209789683177
360G-blf-0031021433,Saxmundham Music and Dance Festival,"The organisation will use the funding to deliver a community music and dance festival following a ten-week period of open music and dance workshops for the wider community. This will provide residents of a rural area with a free and accessible community event to encourage greater community cohesion, as well as celebrate local talent and support people of all abilities.",2015-04-22T00:00:00+00:00,5500.0,360G-blf,The Big Lottery Fund,0.0209739519284
360G-blf-0030011788,Dance Diversions,"This arts group aims to run workshops for children and adults. These workshops will include dance, drama and media. This will give members of the community the opportunity to train under professional artists.",2007-04-26,10000.0,360G-blf,The Big Lottery Fund,0.0209611946354
360G-blf-AHF_1_010152031,60th Anniversary end of WW2,"The Headland Parish Council will use their award to hold a 1940s themed event to celebrate the 60th anniversary of the Second World War. The event will involve competitions around art, models and paintings depicting World War Two scenes, 1940s music, a re-enactment display by German uniformed group and a World War Two fly past.",2005-04-29,8880.0,360G-blf,The Big Lottery Fund,0.0209577657888
